epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
25,2020-06-17,66,RN,Acari,2400109,city,8,71.83908,0,0,0,0.0,11136,False,True
25,2020-06-17,82,RN,Açu,2400208,city,217,374.0283,0,9,0,0.0415,58017,False,True
25,2020-06-17,44,RN,Afonso Bezerra,2400307,city,21,190.30358,0,3,0,0.1429,11035,False,True
25,2020-06-17,58,RN,Alexandria,2400505,city,8,58.92318,0,1,0,0.125,13577,False,True
25,2020-06-17,37,RN,Almino Afonso,2400604,city,6,126.71595,0,0,0,0.0,4735,False,True
25,2020-06-17,61,RN,Alto do Rodrigues,2400703,city,101,695.1614,0,6,0,0.0594,14529,False,True
25,2020-06-17,35,RN,Angicos,2400802,city,14,119.51511,0,2,0,0.1429,11714,False,True
25,2020-06-17,38,RN,Antônio Martins,2400901,city,2,27.9916,0,0,0,0.0,7145,False,True
25,2020-06-17,80,RN,Apodi,2401008,city,442,1233.0869,0,8,0,0.0181,35845,False,True
25,2020-06-17,74,RN,Areia Branca,2401107,city,380,1368.18607,0,33,0,0.0868,27774,False,True
25,2020-06-17,54,RN,Arês,2401206,city,26,181.74193,0,0,0,0.0,14306,False,True
25,2020-06-17,76,RN,Baía Formosa,2401404,city,9,97.07691,0,1,0,0.1111,9271,False,True
25,2020-06-17,61,RN,Baraúna,2401453,city,120,422.92239,0,8,0,0.0667,28374,False,True
25,2020-06-17,63,RN,Barcelona,2401503,city,5,125.06253,0,0,0,0.0,3998,False,True
25,2020-06-17,61,RN,Bento Fernandes,2401602,city,10,181.91741,0,0,0,0.0,5497,False,True
25,2020-06-17,11,RN,Bodó,2401651,city,1,44.98426,0,0,0,0.0,2223,False,True
25,2020-06-17,49,RN,Bom Jesus,2401701,city,29,284.03526,0,1,0,0.0345,10210,False,True
25,2020-06-17,50,RN,Brejinho,2401800,city,32,251.98835,0,0,0,0.0,12699,False,True
25,2020-06-17,37,RN,Caiçara do Norte,2401859,city,19,290.12063,0,1,0,0.0526,6549,False,True
25,2020-06-17,31,RN,Caiçara do Rio do Vento,2401909,city,28,760.04343,0,1,0,0.0357,3684,False,True
25,2020-06-17,82,RN,Caicó,2402006,city,144,211.91429,0,2,0,0.0139,67952,False,True
25,2020-06-17,57,RN,Campo Redondo,2402105,city,16,142.64063,0,0,0,0.0,11217,False,True
25,2020-06-17,67,RN,Canguaretama,2402204,city,69,201.30704,0,7,0,0.1014,34276,False,True
25,2020-06-17,76,RN,Caraúbas,2402303,city,102,497.73093,0,0,0,0.0,20493,False,True
25,2020-06-17,57,RN,Carnaúba dos Dantas,2402402,city,5,61.12469,0,2,0,0.4,8180,False,True
25,2020-06-17,80,RN,Carnaubais,2402501,city,26,241.65815,0,1,0,0.0385,10759,False,True
25,2020-06-17,78,RN,Ceará-Mirim,2402600,city,236,321.10154,0,15,0,0.0636,73497,False,True
25,2020-06-17,67,RN,Cerro Corá,2402709,city,1,8.94534,0,1,0,1.0,11179,False,True
25,2020-06-17,11,RN,Coronel Ezequiel,2402808,city,1,18.16201,0,0,0,0.0,5506,False,True
25,2020-06-17,65,RN,Coronel João Pessoa,2402907,city,4,81.43322,0,1,0,0.25,4912,False,True
25,2020-06-17,29,RN,Cruzeta,2403004,city,15,187.54689,0,0,0,0.0,7998,False,True
25,2020-06-17,66,RN,Currais Novos,2403103,city,64,142.9018,0,2,0,0.0312,44786,False,True
25,2020-06-17,29,RN,Doutor Severiano,2403202,city,9,127.1905,0,1,0,0.1111,7076,False,True
25,2020-06-17,68,RN,Encanto,2403301,city,15,266.05179,0,2,0,0.1333,5638,False,True
