Data,Cidade,Total_Confirmados,Confirmados_Dia,Total_Obitos,Obitos_Dia
20/03,Parnamirim,1,1,0,0
21/03,Parnamirim,2,1,0,0
22/03,Parnamirim,3,1,0,0
23/03,Parnamirim,3,0,0,0
24/03,Parnamirim,4,1,0,0
25/03,Parnamirim,4,0,0,0
26/03,Parnamirim,4,0,0,0
27/03,Parnamirim,4,0,0,0
28/03,Parnamirim,9,5,0,0
29/03,Parnamirim,9,0,0,0
30/03,Parnamirim,10,1,0,0
31/03,Parnamirim,10,0,0,0
01/04,Parnamirim,11,1,0,0
02/04,Parnamirim,13,2,0,0
03/04,Parnamirim,17,4,0,0
04/04,Parnamirim,17,0,0,0
05/04,Parnamirim,27,10,0,0
06/04,Parnamirim,27,0,0,0
07/04,Parnamirim,28,1,0,0
08/04,Parnamirim,30,2,0,0
09/04,Parnamirim,30,0,0,0
10/04,Parnamirim,32,2,0,0
11/04,Parnamirim,31,-1,0,0
12/04,Parnamirim,39,8,0,0
13/04,Parnamirim,41,2,0,0
14/04,Parnamirim,43,2,0,0
15/04,Parnamirim,43,0,0,0
16/04,Parnamirim,57,14,0,0
17/04,Parnamirim,61,4,0,0
18/04,Parnamirim,66,5,0,0
19/04,Parnamirim,67,1,0,0
20/04,Parnamirim,70,3,0,0
21/04,Parnamirim,73,3,0,0
22/04,Parnamirim,81,8,1,1
23/04,Parnamirim,92,11,1,0
24/04,Parnamirim,93,1,1,0
25/04,Parnamirim,94,1,1,0
26/04,Parnamirim,94,0,1,0
27/04,Parnamirim,97,3,1,0
28/04,Parnamirim,107,10,3,2
29/04,Parnamirim,116,9,4,1
30/04,Parnamirim,123,7,4,0
01/05,Parnamirim,133,10,4,0
02/05,Parnamirim,136,3,4,0
03/05,Parnamirim,137,1,4,0
04/05,Parnamirim,140,3,4,0
05/05,Parnamirim,152,12,5,1
06/05,Parnamirim,152,0,4,-1
07/05,Parnamirim,152,0,4,0
08/05,Parnamirim,174,22,5,1
09/05,Parnamirim,174,0,5,0
10/05,Parnamirim,175,1,5,0
11/05,Parnamirim,175,0,3,-2
12/05,Parnamirim,195,20,6,3
13/05,Parnamirim,209,14,6,0
14/05,Parnamirim,220,11,6,0
15/05,Parnamirim,220,0,6,0
16/05,Parnamirim,239,19,6,0
17/05,Parnamirim,246,7,7,1
18/05,Parnamirim,269,23,8,1
19/05,Parnamirim,293,24,8,0
20/05,Parnamirim,317,24,8,0
21/05,Parnamirim,340,23,8,0
22/05,Parnamirim,364,24,9,1
23/05,Parnamirim,364,0,9,0
24/05,Parnamirim,399,35,9,0
25/05,Parnamirim,474,75,9,0
26/05,Parnamirim,491,17,9,0
27/05,Parnamirim,491,0,9,0
28/05,Parnamirim,552,61,10,1
29/05,Parnamirim,702,150,11,1
30/05,Parnamirim,702,0,11,0
31/05,Parnamirim,757,55,13,2
01/06,Parnamirim,777,20,15,2
02/06,Parnamirim,845,68,15,0
03/06,Parnamirim,863,18,17,2
04/06,Parnamirim,878,15,17,0
05/06,Parnamirim,878,0,21,4
06/06,Parnamirim,878,0,21,0
07/06,Parnamirim,1057,179,22,1
08/06,Parnamirim,1067,22,26,4
09/06,Parnamirim,1137,70,28,2
10/06,Parnamirim,1241,104,28,0
11/06,Parnamirim,1281,40,30,2
12/06,Parnamirim,1315,34,30,0
13/06,Parnamirim,1315,0,30,0
14/06,Parnamirim,1376,61,34,4
15/06,Parnamirim,1462,86,41,7
16/06,Parnamirim,1462,0,41,0
17/06,Parnamirim,1462,0,41,0
